Model,Parameter,MAE,RMSE,R2
RF,latitude,0.019213359988715668,0.024271465575140014,0.97197469357286
RF,longitude,0.05189629399857464,0.06528203544951786,0.9716488147107295
RF,altitude,1012.7876526923943,1270.470790159518,0.9673523880479025
XGB,latitude,0.02342534583233425,0.029755180148419002,0.9578804681091555
XGB,longitude,0.06264385842776385,0.07957034616950719,0.9578801960251956
XGB,altitude,1031.0457857572114,1358.350810737459,0.9626796245574951
LGBM,latitude,0.02360445135473295,0.02951409147632516,0.9585602424429327
LGBM,longitude,0.06312206108815133,0.0789253796723571,0.9585602424429337
LGBM,altitude,1161.8084705059953,1402.4315942625258,0.9602181088306494
